,Location,Total Land Area (acres),Number of Cows,Farm Size,Quantity (liters/kg),Price per Unit,Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Sales Channel,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg)
128,Madhya Pradesh,713.33,48,Large,541.95,76.59,467,79.62,37182.54,Online,74,73.6,33.07
129,Gujarat,587.1,22,Large,374.12,49.82,148,51.77,7661.96,Wholesale,226,81.19,36.33
130,Telangana,430.21,70,Large,956.86,19.12,505,14.62,7383.1,Online,451,17.15,55.21
131,Chandigarh,679.85,39,Large,571.63,93.68,480,98.2,47136.0,Online,91,12.33,116.74
132,Tamil Nadu,43.5,33,Medium,234.32,14.61,190,16.3,3097.0,Wholesale,44,33.15,99.45
133,Jharkhand,411.18,76,Small,62.47,94.83,48,90.06,4322.88,Wholesale,14,60.09,140.31
134,Tamil Nadu,660.68,25,Medium,249.49,89.82,180,87.33,15719.4,Retail,69,20.13,90.92
135,Bihar,467.23,46,Small,351.25,51.05,350,51.0,17850.0,Wholesale,1,56.15,124.41
136,Uttar Pradesh,69.39,89,Medium,653.12,60.52,148,61.4,9087.2,Online,505,85.4,100.04
137,Maharashtra,416.62,96,Medium,306.96,81.46,62,78.91,4892.42,Wholesale,244,92.23,158.58
138,Karnataka,265.08,84,Small,332.23,30.78,328,27.15,8905.2,Wholesale,4,72.73,175.3
139,Uttar Pradesh,529.82,15,Small,313.25,32.66,73,32.72,2388.56,Online,240,37.04,97.71
140,Tamil Nadu,976.02,95,Small,488.83,42.69,167,41.02,6850.34,Wholesale,321,97.56,36.85
141,Chandigarh,689.29,66,Large,93.31,86.93,76,89.11,6772.36,Online,17,54.14,57.36
142,Madhya Pradesh,392.76,89,Large,901.18,53.26,637,51.25,32646.25,Wholesale,264,84.76,98.3
143,West Bengal,475.44,21,Small,51.63,52.64,37,53.69,1986.53,Online,14,20.21,103.84
144,Uttar Pradesh,580.01,20,Medium,254.0,31.29,222,34.02,7552.44,Wholesale,32,67.02,103.94
145,Haryana,587.83,20,Medium,650.03,57.57,74,52.88,3913.12,Online,576,71.8,107.14
146,Karnataka,257.67,56,Large,365.86,69.14,286,65.31,18678.66,Online,79,40.27,33.03
147,Madhya Pradesh,314.25,52,Large,448.09,75.81,329,71.75,23605.75,Wholesale,119,83.63,87.78
148,Gujarat,91.39,35,Medium,346.96,60.81,127,60.5,7683.5,Retail,219,88.7,175.22
149,Kerala,234.19,28,Large,120.49,82.44,25,81.53,2038.25,Wholesale,95,41.61,78.62
150,Tamil Nadu,378.64,32,Medium,338.0,35.93,15,31.92,478.8,Online,323,91.88,61.19
151,Bihar,791.28,13,Medium,727.93,36.85,578,33.43,19322.54,Retail,149,44.0,123.04
152,Rajasthan,449.32,28,Small,537.05,48.49,69,51.52,3554.88,Retail,468,24.87,156.18
153,Kerala,827.14,66,Medium,171.89,42.04,150,46.04,6906.0,Wholesale,21,23.42,50.53
154,Delhi,83.63,82,Medium,351.92,31.84,27,28.5,769.5,Retail,324,45.13,146.71
155,Maharashtra,500.17,74,Medium,833.04,37.3,280,40.12,11233.6,Online,553,22.61,24.8
156,West Bengal,676.47,15,Small,164.66,61.72,14,57.35,802.9,Retail,150,49.92,61.22
157,Tamil Nadu,762.07,70,Small,948.97,48.5,568,43.84,24901.12,Wholesale,380,37.89,193.63
158,West Bengal,141.62,85,Large,272.32,91.07,237,90.1,21353.7,Retail,35,12.45,117.28
159,Delhi,628.29,10,Large,312.86,82.16,171,84.4,14432.4,Retail,141,95.91,156.48
160,Chandigarh,213.69,80,Large,273.95,19.1,91,17.16,1561.56,Retail,182,60.21,49.25
161,Rajasthan,451.77,60,Small,520.57,31.5,476,32.86,15641.36,Wholesale,44,36.81,157.46
162,Delhi,159.56,50,Small,601.41,43.67,351,39.29,13790.79,Online,250,77.07,188.19
163,Telangana,393.21,86,Small,304.92,24.64,284,22.2,6304.8,Wholesale,20,55.72,57.17
164,Delhi,760.61,57,Medium,987.98,69.0,246,65.63,16144.98,Online,741,98.97,64.19
165,Delhi,299.01,70,Large,76.53,86.26,35,88.21,3087.35,Wholesale,41,63.78,88.81
166,West Bengal,552.55,64,Large,513.42,76.65,297,75.13,22313.61,Retail,216,86.13,196.86
167,Uttar Pradesh,878.23,72,Large,553.89,35.2,522,39.54,20639.88,Retail,31,95.82,68.61
168,Delhi,196.69,83,Small,801.45,57.51,267,60.57,16172.19,Retail,534,89.01,81.61
169,Uttar Pradesh,772.69,30,Large,616.33,45.7,402,42.62,17133.24,Wholesale,214,32.57,66.86
170,Uttar Pradesh,548.18,71,Small,851.51,23.4,219,27.07,5928.33,Wholesale,632,40.78,110.08
171,Delhi,683.67,58,Large,299.28,34.4,277,31.0,8587.0,Online,22,16.92,120.15
172,Karnataka,283.17,41,Large,509.53,29.74,195,31.99,6238.05,Wholesale,314,96.59,113.47
173,Maharashtra,370.75,60,Medium,473.8,31.43,280,31.23,8744.4,Retail,193,56.66,189.64
174,Telangana,879.18,77,Small,833.57,93.26,805,91.05,73295.25,Retail,28,43.02,113.8
175,West Bengal,851.33,90,Large,809.5,80.62,153,84.1,12867.3,Online,656,93.75,86.31
176,Telangana,873.71,78,Large,114.7,75.55,22,74.7,1643.4,Wholesale,92,30.44,138.17
177,Kerala,960.61,40,Small,140.43,53.43,128,52.59,6731.52,Wholesale,12,92.03,100.15
178,Delhi,772.15,41,Large,590.83,49.02,435,49.51,21536.85,Online,155,22.19,58.33
179,Uttar Pradesh,478.54,20,Small,792.59,59.56,726,60.52,43937.52,Retail,66,63.91,159.72
180,Delhi,884.13,48,Medium,657.24,99.19,631,100.45,63383.95,Wholesale,26,26.28,65.48
181,Maharashtra,270.92,23,Medium,239.22,21.33,104,24.84,2583.36,Online,135,57.51,118.0
182,Chandigarh,363.89,79,Medium,768.63,32.55,637,36.43,23205.91,Retail,131,53.81,27.1
183,Telangana,955.7,100,Large,388.51,29.65,198,26.72,5290.56,Retail,190,88.47,96.67
184,Bihar,796.95,32,Large,397.33,32.39,125,30.96,3870.0,Online,272,70.81,160.15
185,Delhi,39.69,93,Large,34.61,72.6,24,73.86,1772.64,Retail,10,33.25,188.85
186,Rajasthan,763.08,39,Small,168.98,13.18,65,9.21,598.65,Retail,103,58.78,65.12
187,Madhya Pradesh,703.23,61,Small,37.63,36.46,13,31.88,414.44,Wholesale,24,93.62,75.96
188,Karnataka,889.62,33,Medium,265.64,42.34,47,38.48,1808.56,Wholesale,218,91.2,141.21
189,Karnataka,232.58,68,Large,43.8,92.62,9,95.32,857.88,Retail,34,14.78,112.01
190,Chandigarh,590.47,75,Large,410.79,66.24,54,63.97,3454.38,Retail,356,37.13,79.5
191,Haryana,762.0,93,Small,678.13,50.66,526,49.4,25984.4,Online,152,54.19,56.09
192,Rajasthan,321.55,48,Medium,307.25,15.66,24,17.37,416.88,Online,283,93.72,87.63
193,Jharkhand,725.53,35,Small,131.11,98.36,10,102.76,1027.6,Wholesale,121,82.32,115.55
194,Bihar,850.94,26,Large,792.68,77.24,61,79.92,4875.12,Retail,731,86.7,174.64
195,Chandigarh,429.75,77,Small,899.77,42.12,509,43.16,21968.44,Online,390,19.34,154.01
196,Maharashtra,552.53,55,Small,216.86,69.91,23,73.41,1688.43,Online,193,30.08,46.07
197,Delhi,843.84,12,Medium,875.58,75.29,42,73.5,3087.0,Retail,833,85.27,109.45
198,Delhi,505.83,34,Large,602.68,84.02,312,82.4,25708.8,Wholesale,290,21.1,189.21
199,Bihar,29.92,80,Medium,863.98,15.77,105,15.86,1665.3,Retail,758,91.52,138.76
200,Haryana,161.28,26,Large,434.35,39.28,75,39.66,2974.5,Wholesale,359,23.38,162.88
201,Kerala,29.03,76,Large,556.7,13.37,471,12.75,6005.25,Online,85,98.61,167.4
202,Madhya Pradesh,166.54,60,Medium,388.15,76.7,387,77.97,30174.39,Retail,1,84.74,20.41
203,Delhi,637.95,70,Medium,697.67,28.79,186,28.39,5280.54,Online,511,65.1,28.95
204,Madhya Pradesh,692.91,99,Small,845.77,29.42,672,25.45,17102.4,Retail,173,11.32,160.13
205,Delhi,743.39,38,Large,834.03,97.04,85,98.75,8393.75,Retail,749,72.61,73.56
206,Haryana,705.92,71,Small,973.01,12.84,286,11.32,3237.52,Wholesale,687,92.96,155.11
207,Rajasthan,354.9,35,Large,569.49,53.68,204,56.13,11450.52,Retail,365,33.86,89.13
208,Maharashtra,119.34,27,Medium,362.17,80.86,284,80.5,22862.0,Wholesale,78,91.6,57.23
209,Delhi,127.74,32,Medium,292.16,92.86,177,88.29,15627.33,Wholesale,115,87.91,27.03
210,Chandigarh,362.18,34,Large,287.82,78.94,270,81.44,21988.8,Wholesale,17,49.81,104.34
211,Tamil Nadu,632.56,38,Large,78.61,51.29,51,54.49,2778.99,Retail,27,27.23,47.54
212,Madhya Pradesh,360.55,67,Small,844.73,79.44,766,82.88,63486.08,Online,78,83.31,51.2
213,Chandigarh,881.75,74,Medium,426.48,93.08,324,92.73,30044.52,Online,102,71.3,96.39
214,Kerala,729.52,64,Small,39.13,17.04,12,12.58,150.96,Online,27,95.8,184.81
215,Chandigarh,325.3,14,Small,778.77,93.25,728,95.65,69633.2,Online,50,24.54,178.03
216,Maharashtra,187.73,75,Medium,530.22,78.1,301,73.22,22039.22,Wholesale,229,10.52,82.91
217,Haryana,827.65,40,Small,371.6,39.71,165,36.83,6076.95,Retail,206,72.62,113.54
218,Bihar,189.16,40,Medium,479.54,24.68,43,24.14,1038.02,Online,436,45.92,61.95
219,Gujarat,958.35,45,Medium,269.69,11.93,77,15.44,1188.88,Retail,192,99.38,139.81
220,Rajasthan,417.65,20,Small,53.34,46.38,29,42.91,1244.39,Online,24,74.38,158.42
221,Haryana,307.69,91,Small,288.12,70.72,63,71.88,4528.44,Online,225,46.33,99.29
222,Rajasthan,280.28,55,Large,102.05,52.36,16,50.56,808.96,Online,86,84.67,86.18
223,Tamil Nadu,274.74,24,Large,933.28,46.59,485,44.83,21742.55,Wholesale,448,82.71,174.08
224,Delhi,522.08,97,Large,207.35,96.89,67,97.48,6531.16,Wholesale,140,67.77,95.38
225,Jharkhand,218.43,12,Small,387.24,61.66,70,58.3,4081.0,Wholesale,317,91.37,34.8
226,Delhi,550.51,18,Large,946.88,65.09,658,69.31,45605.98,Wholesale,288,98.86,176.89
227,Chandigarh,217.49,78,Medium,113.75,67.47,42,67.63,2840.46,Retail,71,42.03,98.04
228,Rajasthan,781.33,78,Medium,648.17,50.34,155,48.09,7453.95,Retail,493,41.66,165.89
229,Maharashtra,659.59,62,Large,335.63,80.81,241,84.86,20451.26,Online,94,61.29,37.98
230,Tamil Nadu,389.5,33,Large,335.77,72.01,302,69.31,20931.62,Retail,33,89.15,50.02
231,Haryana,156.18,39,Medium,140.5,24.08,1,27.5,27.5,Wholesale,139,16.12,132.94
232,Rajasthan,693.46,41,Large,201.45,23.66,193,19.21,3707.53,Online,8,55.15,171.51
233,Delhi,528.93,26,Medium,210.36,80.1,197,83.02,16354.94,Retail,13,91.66,112.36
234,Delhi,442.73,74,Large,53.88,29.07,6,29.66,177.96,Online,47,22.96,63.07
235,Bihar,922.91,22,Small,4.71,50.15,2,54.01,108.02,Wholesale,2,27.82,84.36
236,Tamil Nadu,998.55,100,Medium,368.47,43.71,36,40.43,1455.48,Retail,332,65.83,114.41
237,Tamil Nadu,655.96,67,Large,475.07,26.14,218,28.05,6114.9,Retail,257,63.98,115.99
238,Delhi,319.54,31,Large,251.73,80.55,107,76.53,8188.71,Retail,144,82.68,176.96
239,Bihar,170.19,86,Small,836.24,69.41,127,70.15,8909.05,Online,709,76.7,80.23
240,Delhi,124.25,22,Small,593.95,57.09,71,52.51,3728.21,Wholesale,522,60.71,50.52
241,Madhya Pradesh,668.45,86,Large,65.85,54.62,13,52.51,682.63,Retail,52,50.7,30.87
242,Jharkhand,895.34,51,Medium,868.06,68.4,494,70.12,34639.28,Retail,374,77.61,79.24
243,Madhya Pradesh,731.29,20,Small,59.17,68.23,45,71.74,3228.3,Wholesale,14,28.94,168.87
244,Tamil Nadu,853.05,11,Small,888.11,71.54,353,68.14,24053.42,Wholesale,535,37.75,147.07
245,Karnataka,285.99,28,Medium,148.85,32.46,138,33.61,4638.18,Wholesale,10,16.41,62.4
246,Maharashtra,623.18,71,Medium,698.34,72.75,488,72.56,35409.28,Retail,210,21.16,140.38
247,Gujarat,790.8,78,Large,839.68,36.59,301,40.62,12226.62,Online,538,32.63,134.41
248,Karnataka,268.3,86,Large,615.81,17.43,322,14.47,4659.34,Wholesale,293,48.72,43.71
249,Uttar Pradesh,326.54,48,Large,338.79,84.66,32,83.14,2660.48,Online,306,61.48,99.28
250,Delhi,75.81,21,Small,100.26,14.47,8,9.96,79.68,Retail,92,83.87,25.47
251,Bihar,32.9,48,Medium,742.3,83.62,57,85.71,4885.47,Wholesale,685,85.25,95.18
252,West Bengal,150.44,88,Small,642.65,93.66,518,91.36,47324.48,Wholesale,124,98.01,115.41
253,Telangana,636.01,44,Large,845.79,38.34,708,41.03,29049.24,Online,137,51.22,49.88
254,Karnataka,109.65,10,Medium,522.76,85.78,424,81.71,34645.04,Wholesale,98,74.49,75.63
255,Chandigarh,220.42,36,Large,450.59,47.43,8,44.5,356.0,Wholesale,442,85.03,171.29
256,Telangana,499.65,22,Medium,695.02,49.56,285,45.74,13035.9,Retail,410,63.89,107.11
257,Tamil Nadu,963.9,57,Small,775.56,91.21,287,94.56,27138.72,Retail,488,19.56,96.94
258,Madhya Pradesh,123.53,37,Medium,412.57,25.11,304,27.85,8466.4,Retail,108,63.17,147.5
259,Chandigarh,696.91,34,Medium,27.64,27.1,21,28.69,602.49,Wholesale,6,61.62,105.64
260,Chandigarh,649.74,77,Small,87.89,92.0,45,94.57,4255.65,Online,42,76.75,56.9
261,Gujarat,878.1,29,Large,568.77,36.58,397,34.52,13704.44,Wholesale,171,12.2,86.74
262,Bihar,537.54,98,Medium,618.02,63.42,605,59.26,35852.3,Wholesale,13,16.88,76.01
263,Delhi,149.88,74,Medium,866.01,52.41,625,54.67,34168.75,Retail,241,51.26,76.41
264,Delhi,605.97,48,Small,401.31,21.99,96,26.04,2499.84,Retail,305,68.57,108.75
265,Madhya Pradesh,871.77,75,Medium,935.28,44.12,443,46.39,20550.77,Online,492,93.32,150.0
266,Chandigarh,764.12,35,Large,646.52,73.27,636,69.79,44386.44,Retail,10,35.47,92.49
